Year,Region,log_production_cbm
2001,VI - Western Visayas,321
2002,VI - Western Visayas,2742
2003,VI - Western Visayas,2506
2004,VI - Western Visayas,52522
2005,VI - Western Visayas,32458
2006,VI - Western Visayas,124198
2007,VI - Western Visayas,58494
2008,VI - Western Visayas,61656
2009,VI - Western Visayas,72792
2010,VI - Western Visayas,58356
2011,VI - Western Visayas,59970
2012,VI - Western Visayas,50102
2013,VI - Western Visayas,22848
2014,VI - Western Visayas,34084
2015,VI - Western Visayas,21261
2016,VI - Western Visayas,14924
2017,VI - Western Visayas,14370
2018,VI - Western Visayas,26791
2019,VI - Western Visayas,20417
2020,VI - Western Visayas,21277
2000,VII - Central Visayas,2395
2001,VII - Central Visayas,1825
2002,VII - Central Visayas,8242
2003,VII - Central Visayas,6649
2004,VII - Central Visayas,5327
2005,VII - Central Visayas,13114
2006,VII - Central Visayas,34254
2007,VII - Central Visayas,34879
2008,VII - Central Visayas,2050
2009,VII - Central Visayas,4783
2010,VII - Central Visayas,3356
2011,VII - Central Visayas,6536
2012,VII - Central Visayas,3830
2013,VII - Central Visayas,6297
2014,VII - Central Visayas,6067
2015,VII - Central Visayas,1693
2016,VII - Central Visayas,26574
2017,VII - Central Visayas,28609
2018,VII - Central Visayas,21277
2019,VII - Central Visayas,17050
2020,VII - Central Visayas,21737
2000,VIII - Eastern Visayas,754
2001,VIII - Eastern Visayas,1377
2002,VIII - Eastern Visayas,2283
2003,VIII - Eastern Visayas,6077
2004,VIII - Eastern Visayas,8385
2005,VIII - Eastern Visayas,5013
2006,VIII - Eastern Visayas,3925
2007,VIII - Eastern Visayas,3827
2008,VIII - Eastern Visayas,4521
2009,VIII - Eastern Visayas,3143
2010,VIII - Eastern Visayas,4473
2011,VIII - Eastern Visayas,6472
2012,VIII - Eastern Visayas,41928
2013,VIII - Eastern Visayas,71492
2014,VIII - Eastern Visayas,77233
2015,VIII - Eastern Visayas,990
2016,VIII - Eastern Visayas,49707
2017,VIII - Eastern Visayas,33595
2018,VIII - Eastern Visayas,4385
2019,VIII - Eastern Visayas,5737
2020,VIII - Eastern Visayas,6963
2000,IX - Zamboanga Peninsula,17210
2001,IX - Zamboanga Peninsula,34877
2002,IX - Zamboanga Peninsula,33084
2003,IX - Zamboanga Peninsula,26878
2004,IX - Zamboanga Peninsula,57060
2005,IX - Zamboanga Peninsula,18090
2006,IX - Zamboanga Peninsula,47077
2007,IX - Zamboanga Peninsula,92583
2008,IX - Zamboanga Peninsula,69571
2009,IX - Zamboanga Peninsula,25713
2010,IX - Zamboanga Peninsula,44782
2011,IX - Zamboanga Peninsula,44941
2012,IX - Zamboanga Peninsula,40481
2013,IX - Zamboanga Peninsula,47163
2014,IX - Zamboanga Peninsula,58924
2015,IX - Zamboanga Peninsula,76824
2016,IX - Zamboanga Peninsula,71117
2017,IX - Zamboanga Peninsula,33280
2018,IX - Zamboanga Peninsula,34578
2019,IX - Zamboanga Peninsula,97706
2020,IX - Zamboanga Peninsula,16812
2000,X - Northern Mindanao,13123
2001,X - Northern Mindanao,34662
2002,X - Northern Mindanao,49903
2003,X - Northern Mindanao,35165
2004,X - Northern Mindanao,18094
2005,X - Northern Mindanao,50508
2006,X - Northern Mindanao,78884
2007,X - Northern Mindanao,68277
2008,X - Northern Mindanao,60459
2009,X - Northern Mindanao,47659
2010,X - Northern Mindanao,42725
2011,X - Northern Mindanao,28967
2012,X - Northern Mindanao,11063
2013,X - Northern Mindanao,32631
2014,X - Northern Mindanao,77350
2015,X - Northern Mindanao,39883
2016,X - Northern Mindanao,47349
2017,X - Northern Mindanao,55961
2018,X - Northern Mindanao,121601
2019,X - Northern Mindanao,92202
2020,X - Northern Mindanao,127535
2000,XI - Davao Region,64617
2001,XI - Davao Region,42515
2002,XI - Davao Region,39697
2003,XI - Davao Region,51359
2004,XI - Davao Region,93593
2005,XI - Davao Region,85395
2006,XI - Davao Region,72621
2007,XI - Davao Region,69807
2008,XI - Davao Region,152162
2009,XI - Davao Region,90575
2010,XI - Davao Region,108881
2011,XI - Davao Region,131502
2012,XI - Davao Region,83632
2013,XI - Davao Region,101583
2014,XI - Davao Region,45980
2015,XI - Davao Region,28946
2016,XI - Davao Region,18891
2017,XI - Davao Region,24272
2018,XI - Davao Region,41416
2019,XI - Davao Region,24534
2020,XI - Davao Region,11942
2000,XII - SOCCSKSARGEN,14112
2001,XII - SOCCSKSARGEN,16540
2002,XII - SOCCSKSARGEN,20951
2003,XII - SOCCSKSARGEN,17850
2004,XII - SOCCSKSARGEN,21818
2005,XII - SOCCSKSARGEN,19897
2006,XII - SOCCSKSARGEN,22566
2007,XII - SOCCSKSARGEN,35556
2008,XII - SOCCSKSARGEN,23978
2009,XII - SOCCSKSARGEN,19718
2010,XII - SOCCSKSARGEN,19642
2011,XII - SOCCSKSARGEN,19602
2012,XII - SOCCSKSARGEN,18627
2013,XII - SOCCSKSARGEN,22534
2014,XII - SOCCSKSARGEN,19691
2015,XII - SOCCSKSARGEN,34394
2016,XII - SOCCSKSARGEN,22817
2017,XII - SOCCSKSARGEN,26492
2018,XII - SOCCSKSARGEN,16077
2019,XII - SOCCSKSARGEN,15496
2020,XII - SOCCSKSARGEN,11432
2000,XIII - Caraga Region,621691
2001,XIII - Caraga Region,401618
2002,XIII - Caraga Region,208654
2003,XIII - Caraga Region,311684
2004,XIII - Caraga Region,465277
2005,XIII - Caraga Region,606182
2006,XIII - Caraga Region,594358
2007,XIII - Caraga Region,461160
2008,XIII - Caraga Region,375499
2009,XIII - Caraga Region,460046
2010,XIII - Caraga Region,167667
2011,XIII - Caraga Region,518750
2012,XIII - Caraga Region,584257
2013,XIII - Caraga Region,845353
2014,XIII - Caraga Region,765725
2015,XIII - Caraga Region,592821
2016,XIII - Caraga Region,491833
2017,XIII - Caraga Region,492525
2018,XIII - Caraga Region,518662
2019,XIII - Caraga Region,607959
2020,XIII - Caraga Region,573782
2000,BARMM,9058
2001,BARMM,6911.5
2002,BARMM,4765
2003,BARMM,4765
2004,BARMM,4765
2005,BARMM,4765
2006,BARMM,4765
2007,BARMM,4765
2008,BARMM,4765
2009,BARMM,4765
2010,BARMM,4765
2011,BARMM,4765
2012,BARMM,4765
2013,BARMM,4765
2014,BARMM,4765
2015,BARMM,4765
2016,BARMM,4765
2017,BARMM,4765
2018,BARMM,4765
2019,BARMM,4765
2020,BARMM,4765
