Year,Region,harvested_area_ha
2013,V - Bicol Region,452781
2014,V - Bicol Region,443169
2015,V - Bicol Region,445332
2016,V - Bicol Region,461633
2017,V - Bicol Region,478439
2018,V - Bicol Region,469554
2019,V - Bicol Region,446797.75
2020,V - Bicol Region,453613.98
2000,VI - Western Visayas,654490
2001,VI - Western Visayas,634300
2002,VI - Western Visayas,662347
2003,VI - Western Visayas,659998
2004,VI - Western Visayas,691193
2005,VI - Western Visayas,694150
2006,VI - Western Visayas,731535
2007,VI - Western Visayas,732544
2008,VI - Western Visayas,788645
2009,VI - Western Visayas,795075
2010,VI - Western Visayas,653755
2011,VI - Western Visayas,776401
2012,VI - Western Visayas,791379
2013,VI - Western Visayas,740219
2014,VI - Western Visayas,743039
2015,VI - Western Visayas,742472
2016,VI - Western Visayas,679846
2017,VI - Western Visayas,764652
2018,VI - Western Visayas,776859
2019,VI - Western Visayas,735293
2020,VI - Western Visayas,766412.94
2000,VII - Central Visayas,330174
2001,VII - Central Visayas,336910
2002,VII - Central Visayas,338351
2003,VII - Central Visayas,324597
2004,VII - Central Visayas,333695
2005,VII - Central Visayas,328313
2006,VII - Central Visayas,339229
2007,VII - Central Visayas,346409
2008,VII - Central Visayas,341402
2009,VII - Central Visayas,334400
2010,VII - Central Visayas,317855
2011,VII - Central Visayas,319262
2012,VII - Central Visayas,312067
2013,VII - Central Visayas,304132
2014,VII - Central Visayas,297377
2015,VII - Central Visayas,289723
2016,VII - Central Visayas,254420
2017,VII - Central Visayas,264597
2018,VII - Central Visayas,245811
2019,VII - Central Visayas,211907
2020,VII - Central Visayas,227873
2000,VIII - Eastern Visayas,277300
2001,VIII - Eastern Visayas,287011
2002,VIII - Eastern Visayas,285671
2003,VIII - Eastern Visayas,285490
2004,VIII - Eastern Visayas,286211
2005,VIII - Eastern Visayas,288730
2006,VIII - Eastern Visayas,292396
2007,VIII - Eastern Visayas,323531
2008,VIII - Eastern Visayas,342329
2009,VIII - Eastern Visayas,341074
2010,VIII - Eastern Visayas,340363
2011,VIII - Eastern Visayas,345883
2012,VIII - Eastern Visayas,347093
2013,VIII - Eastern Visayas,343875
2014,VIII - Eastern Visayas,343772
2015,VIII - Eastern Visayas,329724
2016,VIII - Eastern Visayas,325196.7
2017,VIII - Eastern Visayas,326561
2018,VIII - Eastern Visayas,323070
2019,VIII - Eastern Visayas,309075.58
2020,VIII - Eastern Visayas,314490
2000,IX - Zamboanga Peninsula,325136
2001,IX - Zamboanga Peninsula,323707
2002,IX - Zamboanga Peninsula,328021
2003,IX - Zamboanga Peninsula,340112
2004,IX - Zamboanga Peninsula,339407
2005,IX - Zamboanga Peninsula,321950
2006,IX - Zamboanga Peninsula,301563
2007,IX - Zamboanga Peninsula,302379
2008,IX - Zamboanga Peninsula,274375
2009,IX - Zamboanga Peninsula,289593
2010,IX - Zamboanga Peninsula,287629
2011,IX - Zamboanga Peninsula,290831
2012,IX - Zamboanga Peninsula,292867
2013,IX - Zamboanga Peninsula,287670
2014,IX - Zamboanga Peninsula,293212
2015,IX - Zamboanga Peninsula,295226
2016,IX - Zamboanga Peninsula,300846
2017,IX - Zamboanga Peninsula,313449
2018,IX - Zamboanga Peninsula,319844.81
2019,IX - Zamboanga Peninsula,283020.85
2020,IX - Zamboanga Peninsula,274012.4
2000,X - Northern Mindanao,528608
2001,X - Northern Mindanao,524140
2002,X - Northern Mindanao,484654
2003,X - Northern Mindanao,512742
2004,X - Northern Mindanao,523083
2005,X - Northern Mindanao,506370
2006,X - Northern Mindanao,500765
2007,X - Northern Mindanao,499088
2008,X - Northern Mindanao,520971
2009,X - Northern Mindanao,528643
2010,X - Northern Mindanao,509279
2011,X - Northern Mindanao,516469
2012,X - Northern Mindanao,531512
2013,X - Northern Mindanao,530903
2014,X - Northern Mindanao,536060
2015,X - Northern Mindanao,540795
2016,X - Northern Mindanao,531015
2017,X - Northern Mindanao,538692
2018,X - Northern Mindanao,535310
2019,X - Northern Mindanao,539828.9
2020,X - Northern Mindanao,539000.25
2000,XI - Davao Region,285688
2001,XI - Davao Region,283173
2002,XI - Davao Region,301301
2003,XI - Davao Region,309560
2004,XI - Davao Region,314217
2005,XI - Davao Region,308783
2006,XI - Davao Region,313296
2007,XI - Davao Region,294335
2008,XI - Davao Region,283614
2009,XI - Davao Region,270842
2010,XI - Davao Region,249183
2011,XI - Davao Region,249764
2012,XI - Davao Region,250070
2013,XI - Davao Region,262672
2014,XI - Davao Region,273128
